Wayfair Remittance #: 5310713
For Supplier: Kadehome Inc
Date: 08/10/2022

Invoice #,PO #,Date,Amount,StoreID,OrderType
CS415121005,CS415121005,2022-08-02 00:00:00,69.99,49,Drop-ship
CS415247393,CS415247393,2022-08-02 00:00:00,67.99,49,Drop-ship
CS415344898,CS415344898,2022-08-02 00:00:00,356,49,Drop-ship
CS415389611,CS415389611,2022-08-02 00:00:00,139.98,49,Drop-ship
CS415390563,CS415390563,2022-08-02 00:00:00,196.37,49,Drop-ship
CS415419545,CS415419545,2022-08-02 00:00:00,198.4,49,Drop-ship
CS415476150,CS415476150,2022-08-02 00:00:00,198.4,49,Drop-ship
CS415481943,CS415481943,2022-08-02 00:00:00,61.09,49,Drop-ship
CS415502093,CS415502093,2022-08-03 00:00:00,356,49,Drop-ship
CS415507422,CS415507422,2022-08-02 00:00:00,135.98,49,Drop-ship
CS415542709,CS415542709,2022-08-03 00:00:00,198.4,49,Drop-ship
CS415633776,CS415633776,2022-08-03 00:00:00,198.4,49,Drop-ship
CS415645146,CS415645146,2022-08-03 00:00:00,196.8,49,Drop-ship
CS415656674,CS415656674,2022-08-03 00:00:00,108.36,49,Drop-ship
CS415680108,CS415680108,2022-08-03 00:00:00,424.8,49,Drop-ship
CS415682627,CS415682627,2022-08-04 00:00:00,108.36,49,Drop-ship
CS415685142,CS415685142,2022-08-03 00:00:00,196.37,49,Drop-ship
CS415696811,CS415696811,2022-08-03 00:00:00,163.2,49,Drop-ship
CS415796995,CS415796995,2022-08-03 00:00:00,163.2,49,Drop-ship
CS415810196,CS415810196,2022-08-03 00:00:00,196.8,49,Drop-ship
CS415876673,CS415876673,2022-08-04 00:00:00,198.4,49,Drop-ship
CS415899574,CS415899574,2022-08-04 00:00:00,24.72,49,Drop-ship
CS415967901,CS415967901,2022-08-04 00:00:00,188.65,49,Drop-ship
CS415969301,CS415969301,2022-08-04 00:00:00,108.36,49,Drop-ship
CS416029768,CS416029768,2022-08-05 00:00:00,32.68,49,Drop-ship
CS416074192,CS416074192,2022-08-05 00:00:00,67.99,49,Drop-ship

Wayfair Allowance for Damages/Defects/Returns,,0.07,-304.9
Wayfair Early Pay Discount,,0.03,-130.67

Credit,CS412465753,07/12/2022,-41.62
Item: KA-HS35SC-BR,Qty: 1
Customer: Andrew Ray,Reason: Replacement Part
Desc: "Credit reflects cost of replacement shipping costs we incurred totaling 41.62. Credit reflects the costs of carrier invoice(s) 784663823."



,,Total:,3878.5
